type,dataset,algorithm,stable,n,seed,ok,error,compares,cmp_flips,key_reads,aux_peak_bytes,order_hash
double,all_equal,brainsort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
double,all_equal,slice::sort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
double,all_equal,slice::sort_by_cached_key,1,10,20260912,1,,9,0,10,160,c0b09ddf1ee80aa8
double,all_equal,glidesort,1,10,20260912,1,,21,0,,0,c0b09ddf1ee80aa8
double,runs,brainsort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
double,runs,slice::sort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
double,runs,slice::sort_by_cached_key,1,10,20260912,1,,9,0,10,160,c0b09ddf1ee80aa8
double,runs,glidesort,1,10,20260912,1,,21,0,,0,c0b09ddf1ee80aa8
double,organ_pipe,brainsort,1,10,20260912,1,,25,8,,0,901f5df8c0caea74
double,organ_pipe,slice::sort,1,10,20260912,1,,25,8,,0,901f5df8c0caea74
double,organ_pipe,slice::sort_by_cached_key,1,10,20260912,1,,25,8,10,160,901f5df8c0caea74
double,organ_pipe,glidesort,1,10,20260912,1,,27,6,,0,901f5df8c0caea74
double,small_range,brainsort,1,10,20260912,1,,28,7,,0,fece0b07ed04e90e
double,small_range,slice::sort,1,10,20260912,1,,28,7,,0,fece0b07ed04e90e
double,small_range,slice::sort_by_cached_key,1,10,20260912,1,,28,7,10,160,fece0b07ed04e90e
double,small_range,glidesort,1,10,20260912,1,,24,9,,0,fece0b07ed04e90e
double,sawtooth,brainsort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
double,sawtooth,slice::sort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
double,sawtooth,slice::sort_by_cached_key,1,10,20260912,1,,9,0,10,160,c0b09ddf1ee80aa8
double,sawtooth,glidesort,1,10,20260912,1,,21,0,,0,c0b09ddf1ee80aa8
double,prefixed,brainsort,1,10,20260912,1,,29,9,,0,cf8664ec67648ee0
double,prefixed,slice::sort,1,10,20260912,1,,29,9,,0,cf8664ec67648ee0
double,prefixed,slice::sort_by_cached_key,1,10,20260912,1,,29,9,10,160,cf8664ec67648ee0
double,prefixed,glidesort,1,10,20260912,1,,28,13,,0,cf8664ec67648ee0
int64,random,brainsort,1,10,20260912,1,,27,12,,0,db2b028a5019404c
int64,random,slice::sort,1,10,20260912,1,,27,12,,0,db2b028a5019404c
int64,random,slice::sort_by_cached_key,1,10,20260912,1,,27,12,10,160,db2b028a5019404c
int64,random,glidesort,1,10,20260912,1,,26,10,,0,db2b028a5019404c
int64,sorted,brainsort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
int64,sorted,slice::sort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
int64,sorted,slice::sort_by_cached_key,1,10,20260912,1,,9,0,10,160,c0b09ddf1ee80aa8
int64,sorted,glidesort,1,10,20260912,1,,21,0,,0,c0b09ddf1ee80aa8
int64,reverse,brainsort,1,10,20260912,1,,45,0,,0,784ead557b67f22a
int64,reverse,slice::sort,1,10,20260912,1,,45,0,,0,784ead557b67f22a
int64,reverse,slice::sort_by_cached_key,1,10,20260912,1,,45,0,10,160,784ead557b67f22a
int64,reverse,glidesort,1,10,20260912,1,,27,2,,0,784ead557b67f22a
int64,nearly_sorted,brainsort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
int64,nearly_sorted,slice::sort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
int64,nearly_sorted,slice::sort_by_cached_key,1,10,20260912,1,,9,0,10,160,c0b09ddf1ee80aa8
int64,nearly_sorted,glidesort,1,10,20260912,1,,21,0,,0,c0b09ddf1ee80aa8
int64,few_unique,brainsort,1,10,20260912,1,,27,12,,0,40a575197ea25f2a
int64,few_unique,slice::sort,1,10,20260912,1,,27,12,,0,40a575197ea25f2a
int64,few_unique,slice::sort_by_cached_key,1,10,20260912,1,,27,12,10,160,40a575197ea25f2a
int64,few_unique,glidesort,1,10,20260912,1,,25,10,,0,40a575197ea25f2a
int64,all_equal,brainsort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
int64,all_equal,slice::sort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
int64,all_equal,slice::sort_by_cached_key,1,10,20260912,1,,9,0,10,160,c0b09ddf1ee80aa8
int64,all_equal,glidesort,1,10,20260912,1,,21,0,,0,c0b09ddf1ee80aa8
int64,runs,brainsort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
int64,runs,slice::sort,1,10,20260912,1,,9,0,,0,c0b09ddf1ee80aa8
int64,runs,slice::sort_by_cached_key,1,10,20260912,1,,9,0,10,160,c0b09ddf1ee80aa8
int64,runs,glidesort,1,10,20260912,1,,21,0,,0,c0b09ddf1ee80aa8
int64,organ_pipe,brainsort,1,10,20260912,1,,25,8,,0,901f5df8c0caea74
int64,organ_pipe,slice::sort,1,10,20260912,1,,25,8,,0,901f5df8c0caea74
